Designator,Mid X,Mid Y,Layer,Rotation
D1,-169.8,-151.034717,bottom,180
D2,-169.8,-154.844717,bottom,180
D3,-179.8,-176.834717,bottom,180
D4,-174.72,-176.834717,bottom,180
D5,-169.64,-176.834717,bottom,180
D6,-164.56,-176.834717,bottom,180
D7,-159.48,-176.834717,bottom,180
D8,-179.8,-180.644717,bottom,180
D9,-174.72,-180.644717,bottom,180
D10,-169.64,-180.644717,bottom,180
D11,-164.56,-180.644717,bottom,180
D12,-159.48,-180.644717,bottom,180
D13,-177.78,-202.834717,bottom,180
D14,-172.7,-202.834717,bottom,180
D15,-167.62,-202.834717,bottom,180
D16,-162.54,-202.834717,bottom,180
D17,-177.78,-206.644717,bottom,180
D18,-172.7,-206.644717,bottom,180
D19,-167.62,-206.644717,bottom,180
D20,-162.54,-206.644717,bottom,180
D21,-190.1,-163.924717,bottom,180
D22,-185.02,-163.924717,bottom,180
D23,-179.94,-163.924717,bottom,180
D24,-174.86,-163.924717,bottom,180
D25,-169.78,-163.924717,bottom,180
D26,-164.7,-163.924717,bottom,180
D27,-159.62,-163.924717,bottom,180
D28,-154.54,-163.924717,bottom,180
D29,-149.46,-163.924717,bottom,180
D30,-190.1,-167.734717,bottom,180
D31,-185.02,-167.734717,bottom,180
D32,-179.94,-167.734717,bottom,180
D33,-174.86,-167.734717,bottom,180
D34,-169.78,-167.734717,bottom,180
D35,-164.7,-167.734717,bottom,180
D36,-159.62,-167.734717,bottom,180
D37,-154.54,-167.734717,bottom,180
D38,-149.46,-167.734717,bottom,180
D39,-190,-189.734717,bottom,180
D40,-184.92,-189.734717,bottom,180
D41,-179.84,-189.734717,bottom,180
D42,-174.76,-189.734717,bottom,180
D43,-169.68,-189.734717,bottom,180
D44,-164.6,-189.734717,bottom,180
D45,-159.52,-189.734717,bottom,180
D46,-154.44,-189.734717,bottom,180
D47,-149.36,-189.734717,bottom,180
D48,-190,-193.544717,bottom,180
D49,-184.92,-193.544717,bottom,180
D50,-179.84,-193.544717,bottom,180
D51,-174.76,-193.544717,bottom,180
D52,-169.68,-193.544717,bottom,180
D53,-164.6,-193.544717,bottom,180
D54,-159.52,-193.544717,bottom,180
D55,-154.44,-193.544717,bottom,180
D56,-149.36,-193.544717,bottom,180
